"country","iso3","income","region","EG.FEC.RNEW.ZS","SL.TLF.CACT.FE.ZS","SH.STA.SMSS.ZS","SH.H2O.SMDW.ZS","HD.HCI.OVRL","SE.SEC.ENRR","SH.IMM.IDPT","account.t.d.7","NY.ADJ.SVNG.GN.ZS","ER.H2O.INTR.PC","gov_effect","cont_corr","reg_qua","sdg9_intuse","water_efficiency_FAO","water_efficiency_ceo","WWT.new","BHV.new","FSH.new","GIB.new","wbl","agri_value","waste_managed","lpi_score","conf_gov","trust_ppl","agri_land","LGBT_acc","wat_qua","food_sec","gini_ghg","EN.POP.SLUM.UR.ZS","SI.POV.GINI","EN.ATM.PM25.MC.M3","EN.ATM.CO2E.PC","pov_1016","sec_aparat","ref_idp","risk_to_assets","risk_wellbeing","Tenure.insecurity","waste_rate","forest_loss","pop_dis","rain_exp"
"Andorra","AND","High income","Europe & Central Asia",0.256366198921548,NA,0.999999958877185,0.899283521134544,NA,NA,1,NA,NA,0.00767276179414995,NA,NA,NA,0.914551478858254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.671163575042159,0.325905292479109,0,0.452054794520548,NA,NA,NA,NA,NA,0.952635066837627,0.874551774067652,NA,NA,NA,NA,NA,NA,0.795203924011726,0.998448974412529,NA,NA
"Australia","AUS","High income","East Asia & Pacific",0.119181357921746,0.835994276488574,0.730515173150031,NA,0.862944162436548,0.84002750561675,0.929824561403509,0.992593088846688,0.746788861830773,0.0403606352547056,0.864346235778254,0.898759465133426,0.929550136664429,0.863665379821868,0.0601859450382274,0.0850550784872301,0.926926926926927,0.826923076923077,0.00293255131964809,0.600638977635783,0.957937584803257,0.826184551418494,0.999999999998505,0.808219178082192,0.360876897133221,0.646239554317549,0.00165842046389859,0.780821917808219,0.758511465950949,0.893238434163701,0.155595728450316,NA,NA,0.971354999020251,0.622359344174444,0.994858611825193,0.750892526292176,0.911111111111111,0.954284483581952,0.954727735119449,0.795454545454545,0.767268308362553,0.857836709327307,0.996031208272656,0.929285111315687
"Austria","AUT","High income","Europe & Central Asia",0.446516039497481,0.753968407085069,0.964010671213084,0.988230369252162,0.846023688663283,0.613640457894724,0.754385964912281,0.978227280556729,0.808580131707713,0.0123934692165877,0.833763874373257,0.846438387037624,0.848631530250563,0.877759876787144,0.0845684649542267,0.123705457651635,0.93993993993994,0.467307692307692,NA,0.389776357827476,0.924016282225238,0.257697188155102,NA,0.908675799086758,0.497470489038786,0.664345403899721,0.0366946414380248,0.712328767123288,0.548751471527367,0.898576512455516,0.358676101085141,NA,0.842406876790831,0.929515060571653,0.848952106009297,0.993756885787734,0.870030883282874,0.588888888888889,0.949578851114811,0.952732923325099,0.977272727272727,0.766108020800864,0.928347287733779,0.997659767863324,0.84374348270354
"Belgium","BEL","High income","Europe & Central Asia",0.119455766025837,0.655761625352271,0.967920658123961,0.994869346057917,0.785109983079526,1,0.982456140350877,0.988109298548125,0.797568902798259,0.0020616899352015,0.773605515882938,0.825009764897741,0.791279962321531,0.875165921917905,0.0877672110074887,0.128320939642892,0.678678678678679,0.257692307692308,0.0850439882697947,0.436634717784878,1,0.441223979049926,0.99999999998459,0.93607305936073,NA,NA,0.101380105879916,0.863013698630137,0,0.880782918149466,0.301294042139413,NA,0.908309455587393,0.925162887374229,0.808535211036358,0.998347410943812,0.761723286018603,0.888888888888889,0.986743811648374,0.986936138646567,0.795454545454545,0.872743384929714,0.898919770168593,0.999915068378793,0.931340467164516
"Brunei Darussalam","BRN","High income","East Asia & Pacific",0.000193886747376116,0.798454177693881,NA,NA,NA,0.559400632252059,1,NA,0.994743981953946,0.0399476290300144,0.790902701867651,0.646824405349736,0.664520399018278,0.94798917834453,NA,NA,0.0590590590590591,0.546153846153846,0.0894428152492669,0.053248136315229,0.363636363636364,0.332415646412088,0.991220460882807,0.356164383561644,NA,NA,0.0740773869621626,NA,0.856335301423909,NA,0.098970023880135,NA,NA,0.999555415847876,0.549975388007222,NA,0.588431130395768,0.966666666666667,NA,NA,NA,0.803152228102705,0.951012453269937,NA,NA
"Canada","CAN","High income","North America",0.285933377608942,0.845168026500472,0.804374494752849,0.987742422687929,0.856175972927242,0.711367717358756,0.859649122807018,0.997689307799275,0.751837514349231,0.154879437521367,0.889899831656305,0.90413055248691,0.886703964294155,0.90880627412834,0.0348075464838888,0.0494001851218779,0.673673673673674,1,0.114369501466276,0.473908413205538,1,0.726193650879458,0.999999999986645,0.82648401826484,NA,NA,0.0113016452296687,0.904109589041096,0.702265486831265,0.911032028469751,0.138218319660891,NA,0.739255014326648,0.993959371984317,0.634324861170588,0.995501285347044,0.740061766565749,0.9,0.979081820324024,0.978279473823267,0.772727272727273,0.657418148020744,0.899995418545511,0.9981802881446,0.891834386117097
"Channel Islands","CHI","High income","Europe & Central Asia",NA,0.689782872944317,0.88937462802099,0.91364855942911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999895327,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37285888686196,NA,NA,NA
"Chile","CHL","High income","Latin America & Caribbean",0.323025505238059,0.701138685858406,0.750703767151647,0.985357032619182,0.644670050761421,0.630264781497482,0.929824561403509,0.655446988570131,0.71365916699807,0.095970321233356,0.754866653671571,0.709450914950646,0.806230242393898,0.820925920296684,0.00473417031783432,NA,0.718718718718719,0.730769230769231,0.196480938416422,0.427050053248136,0.694708276797829,0.0906934198479981,0.920496584304717,0.584474885844749,0.462057335581787,0.15041782729805,0.0115971160295639,0.698630136986301,0.714037291795888,0.788256227758007,0.16674998122188,1,0.421203438395415,0.838345837935861,0.910760175993657,0.994430162810625,0.631754169301477,0.9,0.77905835285629,0.724550047222202,0.568181818181818,0.895398957357233,0.897365301845732,0.936328106647717,0.195948440168895
"Croatia","HRV","High income","Europe & Central Asia",0.430061019037176,0.607649380505527,0.540870864358555,0.891960217645544,0.727580372250423,0.614481658795858,0.894736842105263,0.802356624845718,0.815425073845702,0.0171297773753188,0.620892932880675,0.481424730884944,0.632186957023683,0.666595738213211,0.0490966162668506,0.0832133886087805,0.516516516516517,0.234615384615385,0.126099706744868,0.464323748668797,0.915875169606513,0.118655652934401,0.894845780781775,0.511415525114155,0.0118043844856661,0.16016713091922,0.0268166339396727,0.493150684931507,0.614430319396726,NA,0.142019722852023,NA,0.822349570200573,0.871736965812217,0.924713817511366,0.989717223650386,0.758460406216855,0.433333333333333,0.870354606559215,0.870171915282809,0.909090909090909,0.891589148918515,0.971591776258489,0.998610721939471,0.723236780329947
"Cyprus","CYP","High income","Europe & Central Asia",0.129067975204493,0.797378474904947,0.728565987268291,0.995838818684038,0.774957698815567,0.615680299023707,1,0.831584103910606,0.758226569742063,0.00130360457699267,0.720016068314198,0.608110154165821,0.705120999083953,0.804875824543271,0.049482883177234,0.0768591138421641,0.499499499499499,0.115384615384615,0.249266862170088,0.338658146964856,0.881953867028494,0.355508237396444,0.995435480099849,0.502283105022831,0.428330522765599,0.0626740947075209,0.0622587503379704,0.47945205479452,0.753167733835172,NA,0.264159195817703,NA,0.793696275071633,0.878207045734451,0.885468585685601,0.999632757987514,0.664246448480759,0.555555555555556,0.958340756446129,0.946817898722759,0.545454545454545,0.836753851666442,0.97362790843139,0.999541199028258,0.83818168900882
