"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"AFG","Afghanistan",,,,,,,,839.485886052574,888.153370010523,885.840818978255,979.2739786155,1031.64313483579,1176.12635744176,1218.11821481256,1454.66301483469,1637.3779870888,1626.76479325583,1806.76392975325,1874.7656344942,1897.52593759521,1886.69297690361,1896.99251957482,1934.63675412035,1951.55850377515
"ALB","Albania",2665.76490612085,2980.06628849811,2717.36212449434,3021.01473768125,3471.65259162591,3861.334172426,4301.35279874992,4661.37155341076,4994.51880731917,5422.7784619431,5865.30619612569,6559.78325677995,7276.30296869082,8228.37393434179,8814.79960576386,9628.01801665153,10207.751719347,10526.2356037242,10571.0133906469,11259.2288794822,11662.0343838096,11868.1779203019,12930.1372840019,13325.5546303723
"DZA","Algeria",6843.1958200424,7128.13449128543,7213.3507965259,7552.35315332431,7795.37036299164,8162.41289479366,8480.58017701933,8982.68210758908,9684.08205241823,10236.7879718873,11024.9584377733,11381.2605013334,11895.2015977884,12211.3380245579,12291.7607653725,12656.3720817466,13046.3699622677,13479.6805812833,13816.360047887,14317.0427180114,14710.730106735,15050.4321898664,15266.4852082981,15621.8594434799
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",2496.19949344602,2794.89690618184,2953.34270861131,3027.34179532139,3037.72117508021,3097.30729226514,3191.26632340714,3564.0960260637,3614.60727757145,3978.69719450811,4555.18584238934,5048.87644916017,5697.25132784013,6221.42337306937,6092.78324495025,6230.29702794539,6346.39512245023,6772.528333315,6980.42303770718,7199.24547788095,7096.60061495221,6756.93507436951,6650.58493984778,6440.97627017565
"ATG","Antigua and Barbuda",12937.9773329936,13744.2283900455,14431.3091154593,14966.9388480447,15440.251127473,16544.4062710548,15820.7787282029,16011.033633228,17077.1170913092,18303.7390629645,19805.8196774079,22657.8567055312,25020.9018986913,25090.5187396092,21875.2347891364,20237.6727687085,19953.1927712162,20779.8250306909,20867.0284600856,22000.7502830601,22882.9702199058,24177.9597202438,25145.5412294362,26739.4681931788
"ARG","Argentina",10225.1187126326,10857.429668462,11802.842587708,12255.6762581191,11878.7311737753,11916.5826090011,11514.6191069309,10310.1291162543,11307.7579845085,12527.8004963472,13916.5305135208,15334.9368605184,16994.6959838827,17850.130189637,16753.3948879075,18524.856756023,19817.4504765479,19764.2250139108,20365.6133493801,20008.3206437752,20551.8331920467,20130.4080257871,20843.1550677175,20567.3017921066
"ARM","Armenia",1591.89484571486,1742.73411429696,1852.20010204092,2025.55542011483,2136.12159826213,2327.3625215133,2621.85436449287,3031.1218818666,3539.6302673497,4038.45507488035,4772.59004736714,5609.16896953362,6609.17182383653,7264.56119514098,6326.65796858965,6565.67866042888,7019.76774846004,7649.06153123358,8003.0877626689,8405.07365471786,8727.38544723722,8808.57271425944,9620.81849100036,10324.9351325866
"AUS","Australia",20894.3972067408,21972.0526522953,22934.7860068545,24196.7212783416,25264.3643562136,26328.6736837152,27336.6826900614,28718.241079556,29693.9059129237,31327.3774922975,32575.0692539649,34306.6523094004,36560.4056480642,37459.307649507,40300.3082316095,39324.3689530042,41965.3584189919,42826.789579996,45902.047948361,46880.2206571585,46270.1973987065,47352.1116091306,49653.7158885249,51601.7839544281
"AUT","Austria",23660.4086083689,24529.2078275032,25424.0699288625,26674.609548055,27606.4830303088,29380.0660424793,29715.2222181289,31178.6933297272,32108.632547686,33743.0447084692,35013.7140443423,37623.0757580996,39392.5405883999,41316.225176699,40926.5237645676,42006.0468807427,44452.7327457999,46457.3457770311,47922.0491207455,48799.7154676985,49877.7133112879,51655.5030888825,53879.2978545168,55509.5930557893
"AZE","Azerbaijan",2510.53851015471,2563.72099334445,2732.70029297773,3011.08769910818,3251.93494893839,3663.44525692196,4082.68232952958,4504.97648533603,5018.89005626504,5581.87125768037,7290.22995295019,9989.20647283288,12724.3483374698,14047.6601948804,15162.8877986052,15884.0447883734,15754.1523626148,16193.3956654319,17216.1785349866,17808.9018991513,17973.0906672263,17417.0866946634,17525.2796310656,18012.3154821748
"BHS","Bahamas",20668.9077358671,21643.2303619571,22206.1709481936,23253.1427982417,24976.2782047754,26238.1844635855,27102.4547934282,27812.3591441751,27482.0559134905,27956.3822865239,29258.7016153484,30326.4527288721,30996.4287999538,30299.9254830142,28760.5128587163,29099.0572098722,29503.7080684624,30656.0767543286,30762.7939391795,31005.8010980643,31362.4791822494,30862.5383550076,31581.1043896488,
"BHR","Bahrain",31420.1692376087,32448.8186205046,33098.9740225593,34002.0913342107,34685.2795184034,35763.0065362621,35689.3095401192,35642.7812252909,36338.4014709418,37461.7398849633,38491.8748030166,39171.0385888276,40299.9790468257,40566.8346762678,39423.0816939165,39740.461091425,40168.2907691653,41754.6896622274,44274.9670633247,46333.3989015602,46912.9041636047,47215.5509961317,47660.4799076737,47219.8410519512
"BGD","Bangladesh",1085.34990427125,1130.86005914757,1176.89572594069,1226.02089267026,1275.73823400198,1346.74320451837,1419.13778161534,1469.84576124928,1541.18592297321,1638.91616498592,1773.8885878377,1923.4175729538,2088.72093532393,2231.68946442953,2335.91871657039,2466.90294875237,2650.72993332452,2844.70256475036,3033.40463211438,3240.88562338782,3451.39850671617,3696.77619315223,3998.4194235515,4364.04528290173
"BRB","Barbados",9722.05810919243,10250.5705569406,10875.2577108682,11360.352418755,11514.2611763394,12247.6741209083,12174.5916569723,12424.1115645136,12885.7149716871,13372.2444563335,14283.0062825093,15484.7176051269,16110.2066246965,16370.6172882289,15774.814894369,15942.746533594,16333.1991160155,16651.2935264519,16909.5183800771,17200.5386050508,17510.9760071399,18027.9583098538,18526.008560408,
"BLR","Belarus",3999.32412736798,4200.59488311966,4780.38712089889,5265.24390800183,5546.14509672369,6027.32518556579,6483.76108187186,6962.79822752408,7644.92770596435,8809.52694487048,10005.9372508617,11409.2555972706,12781.8090929713,14409.2218838988,14580.5808004617,15927.8747037977,17166.6956434719,17807.4177410243,18298.8470649613,18949.8824399732,18389.7437503155,18098.4228595267,18915.9398914361,19959.5427249814
"BEL","Belgium",22531.7169349596,22891.1030954177,23927.5056427506,24563.9750111524,25642.2616549851,27988.4736100195,28958.4931661401,30482.7846512136,31056.4297700342,32237.9654121564,33332.3313498604,35386.2435378267,36872.6347191659,38133.5014644659,38008.8318042255,40051.9559032756,41284.1510136804,42435.9092509865,43611.072914714,44604.5110502539,45592.356176272,47214.1806397639,49411.8690997742,50366.6790263552
"BLZ","Belize",4543.83446087978,4545.93016592948,4617.17577455081,4661.52872520049,4955.77038033457,5533.40054248332,5758.00203810436,5977.1270009534,6481.93253066697,6787.49907763729,6994.78996931729,7341.86401425307,7426.25953046321,7616.53275852816,7533.77078808382,7688.61787051334,7830.22586722299,8026.17277805109,8052.7944579114,8323.89335759415,8519.20027555645,8388.18205260709,8500.44479966081,8786.49480142582
"BEN","Benin",1109.72406045534,1142.40629406797,1192.09566511527,1216.72738665118,1262.40524394434,1326.08981386947,1384.89728189515,1428.01789684515,1459.58466159283,1518.93258991052,1546.70844059608,1609.10467378436,1701.97113643735,1769.25243461697,1773.72977079744,1781.56331734831,1820.8893040888,1891.53038798579,2006.32788137536,2114.48031526958,2122.23559176033,2169.75580683695,2276.59572978031,2420.47972519809
"BTN","Bhutan",2043.53569935775,2168.99147287466,2281.79206103814,2389.08220218943,2555.91735006602,2732.09486781434,2957.91739696173,3260.19236628088,3507.93456767079,3749.24143090073,4078.03595424595,4430.00689455888,5304.21831488113,5608.40756711891,5967.75080811045,6674.86281963521,7269.3431327835,7692.58153675841,7897.85449414601,8405.26969561394,8949.83705919535,9656.33926201132,10173.0510685791,10516.277213035
"BOL","Bolivia, Plurinational State of",2985.64993654904,3108.9104380538,3253.04750861447,3387.13091949151,3383.70959608299,3478.20247067836,3546.11606277465,3623.09176963451,3721.05593919113,3909.06503913716,4134.61651258349,4386.56545489644,4629.68279758844,4925.9196697829,5045.33127268835,5228.11532912655,5524.71779777384,5825.13998452263,6231.29634499904,6593.2329821835,6882.48891604412,7147.83920983733,7480.07714057558,7859.28171083468
"BIH","Bosnia and Herzegovina",1208.23155352612,2364.76078686455,3257.32833700276,3809.61970603457,4225.42414949474,4547.9726702944,4751.11736117519,5136.52031267024,5373.14265907237,6200.62071114799,6479.66019242022,7406.34744829583,8188.58984099064,9028.86538080467,9030.46433192636,9347.58351722124,9976.47966210109,10304.0164615688,11016.5828511677,11433.1605263408,12013.9829179346,12824.0361342552,13735.0785041602,14347.9901231304
"BWA","Botswana",6818.18080366058,7174.16372851834,7722.30007466195,7667.65979118232,8347.87433086944,8528.96912535793,8574.34376615127,9076.22839320395,9506.49246628163,9849.79699521299,10421.3719284365,11401.3475984634,12409.2978746614,13158.8487123986,12007.2323898495,12964.3514434681,13838.6028216807,14558.0664085955,16310.1028852827,17092.1222420147,16724.5177802601,17314.7804034064,17784.8558105295,18582.9665413466
"BRA","Brazil",8102.67058305971,8300.24679138772,8594.56349911981,8588.3602503553,8624.43941934152,9073.97918111225,9274.24991710996,9581.99524035765,9747.94348397483,10460.5532508168,11004.9589424572,11659.3957007183,12568.2010540342,13332.1472057618,13288.4388133052,14320.3722812277,15061.9566296437,15506.5617123515,16111.4437445732,16358.3908596392,15813.8732646232,15331.5505756438,15662.2470175963,16068.019959844
"BRN","Brunei Darussalam",63092.9578712221,64468.3764903098,63095.7764156471,62020.9094059057,63432.2555609566,65305.7655743062,67184.3544982619,69510.2085320644,71514.3937222503,72549.224959261,73930.4777034419,78411.614598788,79631.1923643943,78670.5579464249,76961.8121969625,78907.8712160233,82502.9352973488,83725.4210256357,82263.4983065777,80782.0314974119,80177.7561185515,78134.6665209268,79789.6050852948,80777.5506698453
"BGR","Bulgaria",7683.85368541215,6779.30803153646,5696.76527716269,6141.21257729053,5767.16792589208,6377.83747429957,6908.95605518324,7726.40097711078,8343.13885383018,9122.84955375309,10211.2798788526,11313.5508143539,12800.8166750994,14328.9898581008,14146.1068964246,14934.132741045,15676.1333354642,16208.2204291165,16571.028761691,17534.3032559292,18186.4872278588,19500.3294529732,20948.1942754245,21960.3699424605
"BFA","Burkina Faso",654.261620689793,719.456366755637,756.732185099722,798.474269320547,845.76684931234,855.7447616175,906.07279057716,933.240365679876,995.464240882399,1037.23164397218,1128.29564794346,1198.75692551169,1261.9829023494,1339.24552299819,1348.00597328637,1394.25310032017,1472.71584137964,1550.63068365825,1620.2053687123,1672.0234371632,1704.85964271681,1773.31883763898,1866.17061993571,1975.03684815405
"BDI","Burundi",601.987470505951,557.16935034664,552.115043199789,578.852301829151,573.714054857912,571.326312290227,582.46781690546,601.529755782136,587.242509949983,612.47443783263,617.061944454382,648.748987058181,666.875594941372,689.748643287301,698.17355330756,718.714469129813,739.219254973908,762.422479525263,788.893782672753,812.030043569424,764.195763296907,743.903597585734,737.97858286726,742.796896003945
"KHM","Cambodia",804.123917308089,841.338930192719,865.266996558458,892.131799169465,995.459838366042,1101.81579376345,1185.43325223946,1259.81370532104,1368.70089264216,1525.92872404812,1754.17113655794,1971.56304190626,2198.29217454476,2355.90362443152,2340.55856673636,2470.70415544817,2658.06255249593,2860.14673413502,3073.31814304088,3300.61675016636,3513.82355956649,3742.95879264866,4019.67998511045,4354.07429687918
"CMR","Cameroon",1728.15225667547,1787.79443254387,1863.91245008089,1919.00893357322,1978.03328279436,2039.93428415022,2119.05892744085,2184.9824523043,2265.80585349054,2418.58814029148,2476.29931164865,2568.44247788306,2691.897289612,2762.94201804798,2767.97483614165,2817.57272221604,2914.2376674035,3021.40920046322,3153.68235758959,3311.73400510575,3442.73447978125,3546.54456017232,3644.80109612329,3771.05201128821
"CAN","Canada",23401.8746824753,23962.4994488813,25167.5197132665,26220.2662066619,27745.8065524148,29265.0844377454,30107.6569414056,30853.201316329,32225.0521212425,33796.9991962311,36211.0845984165,37999.0385951977,39439.8068856578,40275.9898957504,38797.3850494638,40012.3913979895,41569.449617197,42189.1961096712,44188.7317079989,45645.5642968788,44567.8663498079,45011.6431674509,46723.3177643637,48106.8930187143
"CPV","Cape Verde",1788.02167783832,1979.94708346121,2189.71598717594,2441.68036460828,2702.89911977369,3101.00251387231,3183.81940239113,3348.34960902565,3497.85319292211,3900.33598584606,4240.26508637449,4655.64532988656,5437.70991148956,5841.0587675126,5741.21820656374,5821.73980461991,6102.41216353509,6207.36142353237,6285.96982328074,6362.96040120839,6415.61246184696,6709.10991576758,7026.98412242795,7494.71480400652
"CAF","Central African Republic",658.195845800187,626.792728738065,654.729006660342,676.651414505121,694.63843343902,676.811041723269,706.698179903914,728.166256456519,687.364904820005,733.317734653318,748.194265804017,791.985623772569,834.531689386393,852.929806213582,919.408558925555,962.291972167769,1016.21855192248,1083.68992545175,703.492410361881,715.032744745509,750.777013508744,789.165191749179,829.346498086113,871.521420681835
"TCD","Chad",761.402894190284,766.192066616256,795.754533770715,831.126014035166,807.89281281102,789.085764479381,866.953457343728,919.302989979412,1033.57966763099,1365.7741538874,1593.19132484087,1595.09379921471,1635.0967059235,1661.6366222373,1688.08228231936,1875.55726137629,1852.93815588829,1988.06482319185,2067.79646739238,2179.24774129876,2191.74179538487,2012.81731594869,1929.47275158835,1964.78718732117
