"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"AFG","Afghanistan",NA,NA,28.72,NA,NA,NA,NA,28.72,NA,NA,NA,NA,28.72,NA,NA,NA,NA,28.72,NA,NA,NA,NA,28.72,NA
"ALB","Albania",NA,NA,10.93,NA,NA,NA,NA,10.93,NA,NA,NA,NA,10.93,NA,NA,NA,NA,10.93,NA,NA,NA,NA,10.93,NA
"DZA","Algeria",NA,NA,3.599,NA,NA,NA,NA,3.599,NA,NA,NA,NA,3.599,NA,NA,NA,NA,3.599,NA,NA,NA,NA,3.599,NA
"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO","Angola",NA,NA,0.2695,NA,NA,NA,NA,0.2695,NA,NA,NA,NA,0.2695,NA,NA,NA,NA,0.2695,NA,NA,NA,NA,0.2695,NA
"ATG","Antigua and Barbuda",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"ARG","Argentina",NA,NA,66.67,NA,NA,NA,NA,66.67,NA,NA,NA,NA,66.67,NA,NA,NA,NA,66.67,NA,NA,NA,NA,66.67,NA
"ARM","Armenia",NA,NA,11.71,NA,NA,NA,NA,11.71,NA,NA,NA,NA,11.71,NA,NA,NA,NA,11.71,NA,NA,NA,NA,11.71,NA
"AUS","Australia",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"AUT","Austria",NA,NA,29.21,NA,NA,NA,NA,29.21,NA,NA,NA,NA,29.21,NA,NA,NA,NA,29.21,NA,NA,NA,NA,29.21,NA
"AZE","Azerbaijan",NA,NA,76.6,NA,NA,NA,NA,76.6,NA,NA,NA,NA,76.6,NA,NA,NA,NA,76.6,NA,NA,NA,NA,76.6,NA
"BHS","Bahamas",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"BHR","Bahrain",NA,NA,96.55,NA,NA,NA,NA,96.55,NA,NA,NA,NA,96.55,NA,NA,NA,NA,96.55,NA,NA,NA,NA,96.55,NA
"BGD","Bangladesh",NA,NA,91.44,NA,NA,NA,NA,91.44,NA,NA,NA,NA,91.44,NA,NA,NA,NA,91.44,NA,NA,NA,NA,91.44,NA
"BRB","Barbados",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"BLR","Belarus",NA,NA,41.28,NA,NA,NA,NA,41.28,NA,NA,NA,NA,41.28,NA,NA,NA,NA,41.28,NA,NA,NA,NA,41.28,NA
"BEL","Belgium",NA,NA,34.43,NA,NA,NA,NA,34.43,NA,NA,NA,NA,34.43,NA,NA,NA,NA,34.43,NA,NA,NA,NA,34.43,NA
"BLZ","Belize",NA,NA,29.79,NA,NA,NA,NA,29.79,NA,NA,NA,NA,29.79,NA,NA,NA,NA,29.79,NA,NA,NA,NA,29.79,NA
"BEN","Benin",NA,NA,60.97,NA,NA,NA,NA,60.97,NA,NA,NA,NA,60.97,NA,NA,NA,NA,60.97,NA,NA,NA,NA,60.97,NA
"BTN","Bhutan",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"BOL","Bolivia, Plurinational State of",NA,NA,47.13,NA,NA,NA,NA,47.13,NA,NA,NA,NA,47.13,NA,NA,NA,NA,47.13,NA,NA,NA,NA,47.13,NA
"BIH","Bosnia and Herzegovina",NA,NA,5.333,NA,NA,NA,NA,5.333,NA,NA,NA,NA,5.333,NA,NA,NA,NA,5.333,NA,NA,NA,NA,5.333,NA
"BWA","Botswana",NA,NA,80.39,NA,NA,NA,NA,80.39,NA,NA,NA,NA,80.39,NA,NA,NA,NA,80.39,NA,NA,NA,NA,80.39,NA
"BRA","Brazil",NA,NA,34.53,NA,NA,NA,NA,34.53,NA,NA,NA,NA,34.53,NA,NA,NA,NA,34.53,NA,NA,NA,NA,34.53,NA
"BRN","Brunei Darussalam",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"BGR","Bulgaria",NA,NA,1.408,NA,NA,NA,NA,1.408,NA,NA,NA,NA,1.408,NA,NA,NA,NA,1.408,NA,NA,NA,NA,1.408,NA
"BFA","Burkina Faso",NA,NA,7.407,NA,NA,NA,NA,7.407,NA,NA,NA,NA,7.407,NA,NA,NA,NA,7.407,NA,NA,NA,NA,7.407,NA
"BDI","Burundi",NA,NA,19.75,NA,NA,NA,NA,19.75,NA,NA,NA,NA,19.75,NA,NA,NA,NA,19.75,NA,NA,NA,NA,19.75,NA
"KHM","Cambodia",NA,NA,74.67,NA,NA,NA,NA,74.67,NA,NA,NA,NA,74.67,NA,NA,NA,NA,74.67,NA,NA,NA,NA,74.67,NA
"CMR","Cameroon",NA,NA,3.585,NA,NA,NA,NA,3.585,NA,NA,NA,NA,3.585,NA,NA,NA,NA,3.585,NA,NA,NA,NA,3.585,NA
"CAN","Canada",NA,NA,1.792,NA,NA,NA,NA,1.792,NA,NA,NA,NA,1.792,NA,NA,NA,NA,1.792,NA,NA,NA,NA,1.792,NA
"CPV","Cape Verde",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"CAF","Central African Republic",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"TCD","Chad",NA,NA,67.18,NA,NA,NA,NA,67.18,NA,NA,NA,NA,67.18,NA,NA,NA,NA,67.18,NA,NA,NA,NA,67.18,NA
"CHL","Chile",NA,NA,4.123,NA,NA,NA,NA,4.123,NA,NA,NA,NA,4.123,NA,NA,NA,NA,4.123,NA,NA,NA,NA,4.123,NA
"CHN","China",NA,NA,0.9619,NA,NA,NA,NA,0.9619,NA,NA,NA,NA,0.9619,NA,NA,NA,NA,0.9619,NA,NA,NA,NA,0.9619,NA
"COL","Colombia",NA,NA,9.11,NA,NA,NA,NA,9.11,NA,NA,NA,NA,9.11,NA,NA,NA,NA,9.11,NA,NA,NA,NA,9.11,NA
"COM","Comoros",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"COG","Congo",NA,NA,73.32,NA,NA,NA,NA,73.32,NA,NA,NA,NA,73.32,NA,NA,NA,NA,73.32,NA,NA,NA,NA,73.32,NA
"COD","Congo, the Democratic Republic o",NA,NA,29.85,NA,NA,NA,NA,29.85,NA,NA,NA,NA,29.85,NA,NA,NA,NA,29.85,NA,NA,NA,NA,29.85,NA
"CRI","Costa Rica",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
